Bairro,Zona,Cidade,UF
Conjunto Habitacional Brigadeiro Eduardo Gomes,Sul,São Paulo,SP
Conjunto Habitacional Brigadeiro Faria Lima,Oeste,São Paulo,SP
Conjunto Habitacional Castro Alves,Leste,São Paulo,SP
Conjunto Habitacional Fazenda do Carmo,Leste,São Paulo,SP
Conjunto Habitacional Inácio Monteiro,Leste,São Paulo,SP
Conjunto Habitacional Instituto Adventista,Sul,São Paulo,SP
Conjunto Habitacional Jardim São Bento,Norte,São Paulo,SP
Conjunto Habitacional Jova Rural,Norte,São Paulo,SP
Conjunto Habitacional Juscelino Kubitschek,Norte,São Paulo,SP
Conjunto Habitacional Marechal Mascarenhas de Morais,Norte,São Paulo,SP
Conjunto Habitacional Padre José de Anchieta,Leste,São Paulo,SP
Conjunto Habitacional Padre Manoel da Nóbrega,Sul,São Paulo,SP
Conjunto Habitacional Padre Manoel de Paiva,Norte,São Paulo,SP
Conjunto Habitacional Parque Valo Velho II,Sul,São Paulo,SP
Conjunto Habitacional Pirajussara,Oeste,São Paulo,SP
Conjunto Habitacional Santa Etelvina II,Leste,São Paulo,SP
Conjunto Habitacional Santa Etelvina III,Leste,São Paulo,SP
Conjunto Habitacional Sitio Conceição,Sul,São Paulo,SP
Conjunto Habitacional Teotonio Vilela,Leste,São Paulo,SP
Conjunto Habitacional Turística,Sul,São Paulo,SP
Conjunto Habitacional Vila Nova Cachoeirinha,Norte,São Paulo,SP
Conjunto Promorar Estrada da Parada,Leste,São Paulo,SP
Conjunto Promorar Raposo Tavares,Oeste,São Paulo,SP
Conjunto Promorar Rio Claro,Norte,São Paulo,SP
Conjunto Promorar São Luis,Norte,São Paulo,SP
Conjunto Promorar Sapopemba,Leste,São Paulo,SP
Conjunto Promorar Vila Maria III,Norte,São Paulo,SP
Conjunto Residencial Alpes do Jaguará,Oeste,São Paulo,SP
Conjunto Residencial Bandeirantes,Sul,São Paulo,SP
Conjunto Residencial Butantã,Oeste,São Paulo,SP
Conjunto Residencial Elisio Teixeira Leite,Norte,São Paulo,SP
Conjunto Residencial Ingai,Sul,São Paulo,SP
Conjunto Residencial Jardim Canaã,Leste,São Paulo,SP
Conjunto Residencial José Bonifácio,Leste,São Paulo,SP
Conjunto Residencial Morada do Sol,Norte,São Paulo,SP
Conjunto Residencial Novo Pacaembu,Oeste,São Paulo,SP
Conjunto Residencial Paraíso,Sul,São Paulo,SP
Conjunto Residencial Prestes Maia,Norte,São Paulo,SP
Conjunto Residencial Sabarú - Campo Grande,Sul,São Paulo,SP
Conjunto Residencial Salvador Tolezani,Sul,São Paulo,SP
Conjunto Residencial Santa Terezinha,Norte,São Paulo,SP
Conjunto Residencial Sitio Oratório,Leste,São Paulo,SP
Conjunto Residencial Vista Verde,Sul,São Paulo,SP
Consolação,Centro,São Paulo,SP
Copacabana,Norte,São Paulo,SP
Cupecê,Sul,São Paulo,SP
Cursino,Sul,São Paulo,SP
Educandário,Sul,São Paulo,SP
Eldorado,Sul,São Paulo,SP
Embura,Sul,São Paulo,SP
Engenheiro Goulart,Leste,São Paulo,SP
Engenheiro Marsilac,Sul,São Paulo,SP
Ermelino Matarazzo,Leste,São Paulo,SP
Estância Jaguará,Oeste,São Paulo,SP
Estância Mirim,Norte,São Paulo,SP
Estância Tangara,Norte,São Paulo,SP
Fazenda Aricanduva,Leste,São Paulo,SP
Fazenda da Juta,Leste,São Paulo,SP
Fazenda Itaim,Leste,São Paulo,SP
Fazenda Morumbi,Oeste,São Paulo,SP
Ferreira,Oeste,São Paulo,SP
Flor da Cantareira,Norte,São Paulo,SP
Freguesia do Ó,Norte,São Paulo,SP
Furnas,Sul,São Paulo,SP
Gleba do Pêssego,Leste,São Paulo,SP
Granja Julieta,Sul,São Paulo,SP
Granja Nossa Senhora Aparecida,Sul,São Paulo,SP
Guacuri,Sul,São Paulo,SP
Guaiúna,Leste,São Paulo,SP
Guaianazes,Leste,São Paulo,SP
Guapira,Norte,São Paulo,SP
Guarapiranga,Sul,São Paulo,SP
Higienópolis,Centro,São Paulo,SP
Horto,Norte,São Paulo,SP
Horto Florestal,Norte,São Paulo,SP
Ibirapuera,Sul,São Paulo,SP
Imirim,Norte,São Paulo,SP
Indianópolis,Sul,São Paulo,SP
Instituto de Previdência,Leste,São Paulo,SP
Interlagos,Sul,São Paulo,SP
Ipiranga,Sul,São Paulo,SP
Itaberaba,Norte,São Paulo,SP
Itaim Bibi,Oeste,São Paulo,SP
Itaim Paulista,Leste,São Paulo,SP
Itaquera,Leste,São Paulo,SP
Jaçanã,Norte,São Paulo,SP
Jabaquara,Sul,São Paulo,SP
Jaguaré,Oeste,São Paulo,SP
Jaguará,Oeste,São Paulo,SP
Jardim Ângela (Zona Leste),Leste,São Paulo,SP
Jardim Ângela (Zona Sul),Sul,São Paulo,SP
Jardim Íris,Oeste,São Paulo,SP
Jardim Áurea,Leste,São Paulo,SP
Jardim Adélia,Leste,São Paulo,SP
Jardim Adelaide,Norte,São Paulo,SP
Jardim Adelfiore,Norte,São Paulo,SP
Jardim Adhemar de Barros,Leste,São Paulo,SP
Jardim Adutora,Leste,São Paulo,SP
Jardim Aeroporto,Sul,São Paulo,SP
Jardim Aida,Norte,São Paulo,SP
Jardim Aimoré,Sul,São Paulo,SP
Jardim Aladim,Sul,São Paulo,SP
Jardim Alfredo,Leste,São Paulo,SP
Jardim Almanara,Sul,São Paulo,SP
Jardim Almeida,Norte,São Paulo,SP
Jardim Almeida Prado,Oeste,São Paulo,SP
Jardim Alpino,Sul,São Paulo,SP
Jardim Alto Alegre (São Rafael),Leste,São Paulo,SP
Jardim Alto Alegre (Zona Leste),Leste,São Paulo,SP
Jardim Alto Paulistano,Oeste,São Paulo,SP
Jardim Alto Pedroso,Norte,São Paulo,SP
Jardim Alva,Norte,São Paulo,SP
Jardim Alvina,Norte,São Paulo,SP
Jardim Alviverde,Leste,São Paulo,SP
Jardim Alvorada (Zona Norte),Norte,São Paulo,SP
Jardim Alvorada (Zona Oeste),Oeste,São Paulo,SP
Jardim Alvorada (Zona Sul),Sul,São Paulo,SP
Jardim Alzira,Norte,São Paulo,SP
Jardim Amália,Norte,São Paulo,SP
Jardim América,Oeste,São Paulo,SP
Jardim América da Penha,Leste,São Paulo,SP
Jardim Amaralina,Sul,São Paulo,SP
Jardim Ampliação,Sul,São Paulo,SP
Jardim Ana Lúcia,Norte,São Paulo,SP
Jardim Ana Maria,Sul,São Paulo,SP
Jardim Ana Rosa,Sul,São Paulo,SP
Jardim Anália Franco,Leste,São Paulo,SP
Jardim Andaraí,Norte,São Paulo,SP
Jardim Angelina,Norte,São Paulo,SP
Jardim Anhanguera,Norte,São Paulo,SP
Jardim Antártica,Oeste,São Paulo,SP
Jardim Aparecida,Leste,São Paulo,SP
Jardim Apuana,Sul,São Paulo,SP
Jardim Apurá,Sul,São Paulo,SP
Jardim Aracati,Leste,São Paulo,SP
Jardim Arantes,Leste,São Paulo,SP
Jardim Arco-Iris,Norte,São Paulo,SP
Jardim Aricanduva,Leste,São Paulo,SP
Jardim Aristocrata,Norte,São Paulo,SP
Jardim Arize,Norte,São Paulo,SP
Jardim Arizona,Norte,São Paulo,SP
Jardim Arpoador,Oeste,São Paulo,SP
Jardim Artur Alvim,Leste,São Paulo,SP
Jardim Assunção,Sul,São Paulo,SP
Jardim Ataliba Leonel,Norte,São Paulo,SP
Jardim Atlântico,Norte,São Paulo,SP
Jardim Augusta,Centro,São Paulo,SP
Jardim Augusto,Sul,São Paulo,SP
Jardim Aurélio,Norte,São Paulo,SP
Jardim Aurora (Zona Leste),Leste,São Paulo,SP
Jardim Avelino,Leste,São Paulo,SP
Jardim Avenida,Sul,São Paulo,SP
Jardim Azano I,Norte,São Paulo,SP
Jardim Azano II,Norte,São Paulo,SP
Jardim Bélgica,Sul,São Paulo,SP
Jardim Bandeirante (São Rafael),Leste,São Paulo,SP
Jardim Bandeirantes,Sul,São Paulo,SP
Jardim Bandeirantes (Zona Norte),Norte,São Paulo,SP
Jardim Bartira,Oeste,São Paulo,SP
Jardim Batalha,Leste,São Paulo,SP
Jardim Beatriz,Sul,São Paulo,SP
Jardim Beatriz (Zona Leste),Leste,São Paulo,SP
Jardim Bela Vista (Zona Norte),Norte,São Paulo,SP
Jardim Bela Vista (Zona Sul),Sul,São Paulo,SP
Jardim Belém,Leste,São Paulo,SP
Jardim Belaura,Oeste,São Paulo,SP
Jardim Belcito,Sul,São Paulo,SP
Jardim Benfica,Norte,São Paulo,SP
Jardim Bichinhos,Sul,São Paulo,SP
Jardim Boa Esperança,Norte,São Paulo,SP
Jardim Boa Vista (Zona Oeste),Oeste,São Paulo,SP
Jardim Boa Vista (Zona Sul),Sul,São Paulo,SP
Jardim Boa Vista (Anhanguera),Norte,São Paulo,SP
Jardim Bom Clima,Norte,São Paulo,SP
Jardim Bom Pastor,Sul,São Paulo,SP
Jardim Bom Refúgio,Norte,São Paulo,SP
Jardim Bonfiglioli,Oeste,São Paulo,SP
Jardim Bonito,Norte,São Paulo,SP
Jardim Borba Gato,Sul,São Paulo,SP
Jardim Botucatu,Sul,São Paulo,SP
Jardim Brasília,Sul,São Paulo,SP
Jardim Brasília (Zona Leste),Leste,São Paulo,SP
Jardim Brasília (Zona Norte),Norte,São Paulo,SP
Jardim Brasil (Zona Norte),Norte,São Paulo,SP
Jardim Brasil (Zona Sul),Sul,São Paulo,SP
Jardim Brasil Novo,Norte,São Paulo,SP
Jardim Britânia,Oeste,São Paulo,SP
Jardim Bronzato,Norte,São Paulo,SP
Jardim Buriti,Leste,São Paulo,SP
Jardim Célia,Leste,São Paulo,SP
Jardim Célia (Zona Sul),Sul,São Paulo,SP
Jardim Caboré,Oeste,São Paulo,SP
Jardim Cabuçu,Norte,São Paulo,SP
Jardim Cachoeira,Norte,São Paulo,SP
Jardim Caguassu,Leste,São Paulo,SP
Jardim Camargo Novo,Leste,São Paulo,SP
Jardim Cambara,Norte,São Paulo,SP
Jardim Campinas,Sul,São Paulo,SP
Jardim Campo dos Ferreiros,Norte,São Paulo,SP
Jardim Campo Grande,Sul,São Paulo,SP
Jardim Campo Limpo,Sul,São Paulo,SP
Jardim Campo Limpo (Zona Norte),Norte,São Paulo,SP
Jardim Campos,Leste,São Paulo,SP
Jardim Capão Redondo,Sul,São Paulo,SP
Jardim Capela,Leste,São Paulo,SP
Jardim Capelinha,Sul,São Paulo,SP
Jardim Caravelas,Sul,São Paulo,SP
Jardim Carlu,Leste,São Paulo,SP
Jardim Carolina,Norte,São Paulo,SP
Jardim Carombé,Leste,São Paulo,SP
Jardim Casa Grande,Sul,São Paulo,SP
Jardim Casa Pintada,Norte,São Paulo,SP
Jardim Casablanca,Leste,São Paulo,SP
Jardim Castelo,Sul,São Paulo,SP
Jardim Castro Alves,Leste,São Paulo,SP
Jardim Catanduva,Norte,São Paulo,SP
Jardim Catarina,Norte,São Paulo,SP
Jardim Cecy,Norte,São Paulo,SP
Jardim Celeste,Sul,São Paulo,SP
Jardim Centenário,Sul,São Paulo,SP
Jardim Cibele,Leste,São Paulo,SP
Jardim Cidália,Leste,São Paulo,SP
Jardim Cidade Pirituba,Norte,São Paulo,SP
Jardim Cinco de Julho,Norte,São Paulo,SP
Jardim Cláudia,Oeste,São Paulo,SP
Jardim Clímax,Oeste,São Paulo,SP
Jardim Clara Regina,Sul,São Paulo,SP
Jardim Clarice,Oeste,São Paulo,SP
Jardim Cleide,Norte,São Paulo,SP
Jardim Cliper,Norte,São Paulo,SP
Jardim Coimbra,Norte,São Paulo,SP
Jardim Colibri,Sul,São Paulo,SP
Jardim Colombo,Oeste,São Paulo,SP
Jardim Colonial,Norte,São Paulo,SP
Jardim Colorado,Norte,São Paulo,SP
Jardim Comercial,Norte,São Paulo,SP
Jardim Concórdia,Norte,São Paulo,SP
Jardim Consórcio,Sul,São Paulo,SP
Jardim Copacabana,Norte,São Paulo,SP
Jardim Cordeiro,Sul,São Paulo,SP
Jardim Corisco,Oeste,São Paulo,SP
Jardim Corisco Novo,Oeste,São Paulo,SP
Jardim Cotching,Leste,São Paulo,SP
Jardim Cotiana,Norte,São Paulo,SP
Jardim Cotinha,Norte,São Paulo,SP
Jardim Cris,Norte,São Paulo,SP
Jardim Cristália,Leste,São Paulo,SP
Jardim Cristal,Sul,São Paulo,SP
Jardim Cristina,Norte,São Paulo,SP
Jardim Cruz do Corisco,Oeste,São Paulo,SP
Jardim Cruzeiro,Norte,São Paulo,SP
Jardim Cupecê,Sul,São Paulo,SP
Jardim da Cachoeira,Norte,São Paulo,SP
Jardim da Campina,Norte,São Paulo,SP
Jardim da Conquista (Zona Leste),Leste,São Paulo,SP
Jardim da Conquista (Zona Oeste),Oeste,São Paulo,SP
Jardim da Glória,Sul,São Paulo,SP
Jardim da Laranjeira (Zona Leste),Leste,São Paulo,SP
Jardim da Pedreira,Norte,São Paulo,SP
Jardim da Saúde,Sul,São Paulo,SP
Jardim D'Abril,Oeste,São Paulo,SP
Jardim Dalmo,Leste,São Paulo,SP
Jardim Damasceno,Norte,São Paulo,SP
Jardim Danfer,Leste,São Paulo,SP
Jardim Danubio Azul,Leste,São Paulo,SP
Jardim das Acácias,Sul,São Paulo,SP
Jardim das Bandeiras,Oeste,São Paulo,SP
Jardim das Camélias,Leste,São Paulo,SP
Jardim das Camélias (Zona Sul),Sul,São Paulo,SP
Jardim das Carmelitas,Sul,São Paulo,SP
Jardim das Esmeraldas,Norte,São Paulo,SP
Jardim das Flores,Norte,São Paulo,SP
Jardim das Fontes,Norte,São Paulo,SP
Jardim das Graças,Oeste,São Paulo,SP
Jardim das Imbuias,Sul,São Paulo,SP
Jardim das Laranjeiras,Norte,São Paulo,SP
Jardim das Laranjeiras (Zona Sul),Sul,São Paulo,SP
Jardim das Oliveiras,Leste,São Paulo,SP
Jardim das Oliveiras (Zona Sul),Sul,São Paulo,SP
Jardim das Palmas,Sul,São Paulo,SP
Jardim das Palmeiras,Norte,São Paulo,SP
Jardim das Palmeiras (Zona Sul),Sul,São Paulo,SP
Jardim das Pedras,Norte,São Paulo,SP
Jardim das Pedras (Zona Sul),Sul,São Paulo,SP
Jardim das Praias,Sul,São Paulo,SP
Jardim das Rosas (Iguatemi),Leste,São Paulo,SP
Jardim das Rosas (Zona Leste),Leste,São Paulo,SP
Jardim das Rosas (Zona Norte),Norte,São Paulo,SP
Jardim das Rosas (Zona Sul),Sul,São Paulo,SP
Jardim das Vertentes,Oeste,São Paulo,SP
Jardim Daysy,Norte,São Paulo,SP
Jardim de Lorenzo,Norte,São Paulo,SP
Jardim Denise,Norte,São Paulo,SP
Jardim Dinar,Norte,São Paulo,SP
Jardim Dinorah,Norte,São Paulo,SP
Jardim Dionisio,Sul,São Paulo,SP
Jardim do Alto,Norte,São Paulo,SP
Jardim do Campo,Oeste,São Paulo,SP
Jardim do Centro,Norte,São Paulo,SP
Jardim do Colégio,Leste,São Paulo,SP
Jardim do Colégio (Zona Norte),Norte,São Paulo,SP
Jardim do Divino,Sul,São Paulo,SP
Jardim do Lago,Norte,São Paulo,SP
Jardim do Russo,Norte,São Paulo,SP
Jardim do Tiro,Norte,São Paulo,SP
Jardim Dom Bosco,Sul,São Paulo,SP
Jardim Dom José,Norte,São Paulo,SP
Jardim Domitila,Sul,São Paulo,SP
Jardim Dona Deolinda,Norte,São Paulo,SP
Jardim Dona Sinhá,Sul,São Paulo,SP
Jardim Donária,Sul,São Paulo,SP
Jardim dos Álamos,Sul,São Paulo,SP
Jardim dos Bichinhos,Sul,São Paulo,SP
Jardim dos Cataldis,Sul,São Paulo,SP
Jardim dos Estados,Oeste,São Paulo,SP
Jardim dos Eucaliptos,Sul,São Paulo,SP
Jardim dos Eucaliptos (Sapopemba),Leste,São Paulo,SP
Jardim dos Francos,Norte,São Paulo,SP
Jardim dos Ipês,Leste,São Paulo,SP
Jardim dos Lagos,Norte,São Paulo,SP
Jardim dos Manacás,Norte,São Paulo,SP
Jardim dos Pereiras,Norte,São Paulo,SP
Jardim dos Prados,Norte,São Paulo,SP
Jardim Dracena,Sul,São Paulo,SP
Jardim Duprat,Norte,São Paulo,SP
Jardim Edda,Norte,São Paulo,SP
Jardim Edi,Norte,São Paulo,SP
Jardim Edilene,Norte,São Paulo,SP
Jardim Edith,Sul,São Paulo,SP
Jardim Egle,Norte,São Paulo,SP
Jardim Elba,Sul,São Paulo,SP
Jardim Eledy,Norte,São Paulo,SP
Jardim Eliana,Norte,São Paulo,SP
Jardim Eliane,Norte,São Paulo,SP
Jardim Elisa Maria,Norte,São Paulo,SP
Jardim Elisio,Norte,São Paulo,SP
Jardim Eliza,Sul,São Paulo,SP
Jardim Elizabeth,Sul,São Paulo,SP
Jardim Ellus,Norte,São Paulo,SP
Jardim Elza,Norte,São Paulo,SP
Jardim Ernestina,Leste,São Paulo,SP
Jardim Esmeralda,Oeste,São Paulo,SP
Jardim Esmeralda (Zona Sul),Sul,São Paulo,SP
Jardim Ester,Oeste,São Paulo,SP
Jardim Ester Yolanda,Oeste,São Paulo,SP
Jardim Estrela D'alva,Norte,São Paulo,SP
Jardim Etelvina,Leste,São Paulo,SP
Jardim Europa,Oeste,São Paulo,SP
Jardim Eva,Norte,São Paulo,SP
Jardim Everest,Norte,São Paulo,SP
Jardim Fanganiello,Leste,São Paulo,SP
Jardim Faria Lima,Leste,São Paulo,SP
Jardim Felicidade (Zona Norte),Norte,São Paulo,SP
Jardim Felicidade (Zona Oeste),Oeste,São Paulo,SP
Jardim Fernandes,Sul,São Paulo,SP
Jardim Figueira Grande,Leste,São Paulo,SP
Jardim Filhos da Terra,Norte,São Paulo,SP
Jardim Fim de Semana,Oeste,São Paulo,SP
Jardim Flórida Paulista,Sul,São Paulo,SP
Jardim Flor de Maio,Norte,São Paulo,SP
Jardim Floresta,Norte,São Paulo,SP
Jardim Fluminense,Norte,São Paulo,SP
Jardim Fontalis,Norte,São Paulo,SP
Jardim Fonte do Morumbi,Oeste,São Paulo,SP
Jardim Forte Aliança,Norte,São Paulo,SP
Jardim Franca,Leste,São Paulo,SP
Jardim Francisco Mendes,Sul,São Paulo,SP
Jardim Fraternidade,Leste,São Paulo,SP
Jardim Fujihara,Norte,São Paulo,SP
Jardim Galli,Leste,São Paulo,SP
Jardim Germânia,Sul,São Paulo,SP
Jardim Gianetti,Leste,São Paulo,SP
Jardim Gilda Maria,Sul,São Paulo,SP
Jardim Gonzaga,Leste,São Paulo,SP
Jardim Grimaldi,Norte,São Paulo,SP
Jardim Guacuri,Sul,São Paulo,SP
Jardim Guaianazes,Leste,São Paulo,SP
Jardim Guairaca,Norte,São Paulo,SP
Jardim Guanabara,Norte,São Paulo,SP
Jardim Guanca,Leste,São Paulo,SP
Jardim Guanhembu,Sul,São Paulo,SP
Jardim Guapira,Norte,São Paulo,SP
Jardim Guarani,Leste,São Paulo,SP
Jardim Guarapiranga,Sul,São Paulo,SP
Jardim Guarau,Norte,São Paulo,SP
Jardim Guarujá,Sul,São Paulo,SP
Jardim Guedala,Oeste,São Paulo,SP
Jardim Guiomar,Leste,São Paulo,SP
Jardim Gustavo,Norte,São Paulo,SP
Jardim Hadad,Leste,São Paulo,SP
Jardim Haia do Carrão,Leste,São Paulo,SP
Jardim Hípico,Sul,São Paulo,SP
Jardim Hebrom,Leste,São Paulo,SP
Jardim Helena,Leste,São Paulo,SP
Jardim Helga,Norte,São Paulo,SP
Jardim Helian,Leste,São Paulo,SP
Jardim Heloisa,Sul,São Paulo,SP
Jardim Hercilia,Norte,São Paulo,SP
Jardim Herculano,Sul,São Paulo,SP
Jardim Herplin,Leste,São Paulo,SP
Jardim Horizonte Azul,Leste,São Paulo,SP
Jardim Humaitá,Norte,São Paulo,SP
Jardim Iae,Sul,São Paulo,SP
Jardim Iara,Norte,São Paulo,SP
Jardim Ibirapuera,Sul,São Paulo,SP
Jardim Ibiratiba,Sul,São Paulo,SP
Jardim Ibitirama,Leste,São Paulo,SP
Jardim Icaraí,Sul,São Paulo,SP
Jardim Ida Guedes,Oeste,São Paulo,SP
Jardim Ideal,Leste,São Paulo,SP
Jardim Iguatemi,Leste,São Paulo,SP
Jardim Imbé,Norte,São Paulo,SP
Jardim Império,Leste,São Paulo,SP
Jardim Imperador (Zona Leste),Leste,São Paulo,SP
Jardim Imperador (Zona Sul),Sul,São Paulo,SP
Jardim Imperial,Norte,São Paulo,SP
Jardim Indaiá,Leste,São Paulo,SP
Jardim Independência,Leste,São Paulo,SP
Jardim Ingá,Norte,São Paulo,SP
Jardim Internacional,Leste,São Paulo,SP
Jardim Ipê,Sul,São Paulo,SP
Jardim Ipanema (Cidade Líder),Leste,São Paulo,SP
Jardim Ipanema (São Miguel),Leste,São Paulo,SP
Jardim Ipanema (Zona Oeste),Oeste,São Paulo,SP
Jardim Ipanema (Zona Sul),Sul,São Paulo,SP
Jardim Iporã,Oeste,São Paulo,SP
Jardim Iporanga,Sul,São Paulo,SP
Jardim Iracema,Norte,São Paulo,SP
Jardim Irapiranga,Sul,São Paulo,SP
Jardim Irene,Sul,São Paulo,SP
Jardim Itália,Norte,São Paulo,SP
